rowid,name
1,北京大学
2,中国人民大学
3,清华大学
4,北京交通大学
5,北京工业大学
6,北京航空航天大学
7,北京理工大学
8,北京科技大学
9,北方工业大学
10,北京化工大学
11,北京工商大学
12,北京服装学院
13,北京邮电大学
14,北京印刷学院
15,北京建筑大学
16,北京石油化工学院
17,北京电子科技学院
18,中国农业大学
19,北京农学院
20,北京林业大学
21,北京协和医学院
22,首都医科大学
23,北京中医药大学
24,北京师范大学
25,首都师范大学
26,首都体育学院
27,北京外国语大学
28,北京第二外国语学院
29,北京语言大学
30,中国传媒大学
31,中央财经大学
32,对外经济贸易大学
33,北京物资学院
34,首都经济贸易大学
35,外交学院
36,中国人民公安大学
37,国际关系学院
38,北京体育大学
39,中央音乐学院
40,中国音乐学院
41,中央美术学院
42,中央戏剧学院
43,中国戏曲学院
44,北京电影学院
45,北京舞蹈学院
46,中央民族大学
47,中国政法大学
48,华北电力大学
49,中华女子学院
50,北京信息科技大学
51,中国矿业大学（北京）
52,中国石油大学（北京）
53,中国地质大学（北京）
54,北京联合大学
55,北京城市学院
56,中国青年政治学院
57,首钢工学院
58,中国劳动关系学院
59,北京吉利学院
60,首都师范大学科德学院
61,北京工商大学嘉华学院
62,北京邮电大学世纪学院
63,北京工业大学耿丹学院
64,北京警察学院
65,北京第二外国语学院中瑞酒店管理学院
66,中国科学院大学
67,中国社会科学院大学
68,北京工业职业技术学院
69,北京信息职业技术学院
70,北京电子科技职业学院
71,北京京北职业技术学院
72,北京交通职业技术学院
73,北京青年政治学院
74,北京农业职业学院
75,北京政法职业学院
76,北京财贸职业学院
77,北京北大方正软件职业技术学院
78,北京经贸职业学院
79,北京经济技术职业学院
80,北京戏曲艺术职业学院
81,北京汇佳职业学院
82,北京科技经营管理学院
83,北京科技职业学院
84,北京培黎职业学院
85,北京经济管理职业学院
86,北京劳动保障职业学院
87,北京社会管理职业学院
88,北京艺术传媒职业学院
89,北京体育职业学院
90,北京交通运输职业学院
91,北京卫生职业学院
92,北京网络职业学院
93,南开大学
94,天津大学
95,天津科技大学
96,天津工业大学
97,中国民航大学
98,天津理工大学
99,天津农学院
100,天津医科大学
101,天津中医药大学
102,天津师范大学
103,天津职业技术师范大学
104,天津外国语大学
105,天津商业大学
106,天津财经大学
107,天津体育学院
108,天津音乐学院
109,天津美术学院
110,天津城建大学
111,天津天狮学院
112,天津中德应用技术大学
113,天津外国语大学滨海外事学院
114,天津体育学院运动与文化艺术学院
115,天津商业大学宝德学院
116,天津医科大学临床医学院
117,南开大学滨海学院
118,天津师范大学津沽学院
119,天津理工大学中环信息学院
120,北京科技大学天津学院
121,天津大学仁爱学院
122,天津财经大学珠江学院
123,天津市职业大学
124,天津滨海职业学院
125,天津工程职业技术学院
126,天津青年职业学院
127,天津渤海职业技术学院
128,天津电子信息职业技术学院
129,天津机电职业技术学院
130,天津现代职业技术学院
131,天津公安警官职业学院
132,天津轻工职业技术学院
133,天津商务职业学院
134,天津国土资源和房屋职业学院
135,天津医学高等专科学校
136,天津开发区职业技术学院
137,天津艺术职业学院
138,天津交通职业学院
139,天津冶金职业技术学院
140,天津石油职业技术学院
141,天津城市职业学院
142,天津铁道职业技术学院
143,天津工艺美术职业学院
144,天津城市建设管理职业技术学院
145,天津生物工程职业技术学院
146,天津海运职业学院
147,天津广播影视职业学院
148,天津体育职业学院
149,天津滨海汽车工程职业学院
150,复旦大学
151,同济大学
152,上海交通大学
153,华东理工大学
154,上海理工大学
155,上海海事大学
156,东华大学
157,上海电力学院
158,上海应用技术大学
159,上海健康医学院
160,上海海洋大学
161,上海中医药大学
162,华东师范大学
163,上海师范大学
164,上海外国语大学
165,上海财经大学
166,上海对外经贸大学
167,上海海关学院
168,华东政法大学
169,上海体育学院
170,上海音乐学院
171,上海戏剧学院
172,上海大学
173,上海公安学院
174,上海工程技术大学
175,上海立信会计金融学院
176,上海电机学院
177,上海杉达学院
178,上海政法学院
179,上海第二工业大学
180,上海商学院
181,上海建桥学院
182,上海兴伟学院
183,上海视觉艺术学院
184,上海外国语大学贤达经济人文学院
185,上海师范大学天华学院
186,上海科技大学
187,上海纽约大学
188,上海旅游高等专科学校
189,上海东海职业技术学院
190,上海工商职业技术学院
191,上海出版印刷高等专科学校
192,上海行健职业学院
193,上海城建职业学院
194,上海交通职业技术学院
195,上海海事职业技术学院
196,上海电子信息职业技术学院
197,上海震旦职业学院
198,上海民远职业技术学院
199,上海欧华职业技术学院
200,上海思博职业技术学院
201,上海立达职业技术学院
202,上海工艺美术职业学院
203,上海济光职业技术学院
204,上海工商外国语职业学院
205,上海科学技术职业学院
206,上海农林职业技术学院
207,上海邦德职业技术学院
208,上海中侨职业技术学院
209,上海电影艺术职业学院
210,上海中华职业技术学院
211,上海工会管理职业学院
212,上海体育职业学院
213,上海民航职业技术学院
214,重庆大学
215,重庆邮电大学
216,重庆交通大学
217,重庆医科大学
218,西南大学
219,重庆师范大学
220,重庆文理学院
221,重庆三峡学院
222,长江师范学院
223,四川外国语大学
