rowid,school_name,shool_code
1,北京市第六十五中学,1101010010013411000241341
2,北京市东城区中央音乐学院鼎石实验学校,1101010010013611000024365
3,北京市第二十七中学,1101010010063411000238341
4,北京国际职业教育学校,1101010010073611000086365
5,北京市第一六六中学,1101010010093411000239341
6,北京景山学校,1101010010093411000242345
7,北京市第二十五中学,1101010010093411000243341
8,北京市育人中等职业学校,1101010020033611000084365
9,北京市第一六五中学,1101010020053411000253341
10,北京市第二十二中学,1101010030013411000237341
11,北京市第五中学,1101010030033411000254342
12,北京市外国语学校,1101010030033411000283342
13,北京市第五中学分校(原北京市东城综合高中),1101010030073411000251341
14,北京市第二十一中学,1101010040013411000255341
15,北京市第一中学,1101010040023411000258345
16,北京市东直门中学,1101010050023411000240341
17,北京市第二中学,1101010070023411000235342
18,北京百年农工子弟职业学校,1101010070133611000082364
19,北京市第二十四中学,1101010080143411000249341
20,北京市第一二五中学,1101010080153411000248341
21,中央工艺美术学院附属中学(完全中学),1101010090033411000257341
22,中央工艺美术学院附属中学(附设中职班),1101010090033411000257368
23,北京市翔宇中学,1101010090053411000256341
24,北京市第五十五中学,1101010090083411000252341
25,北京市第一七一中学,1101010100023411000250341
26,北京市第一七七中学,1101010100083411000236341
27,北京市东城区特殊教育学校,1101010100175111000018368
28,北京市第一四二中学(北京宏志中学),1101010100203411000245341
29,北京市第五十四中学,1101010100273411000244341
30,北京市第九十六中学,1101010120043411000266341
31,北京市崇文门中学,1101010130013411000260341
32,北京市广渠门中学,1101010130083411000261341
33,北京市龙潭中学,1101010140063411000263341
34,北京市第一七九中学,1101010140133611000105365
35,北京汇文中学,1101010140173411000265341
36,北京市第五十中学,1101010140193411000262341
37,北京市第一零九中学,1101010150053411000264341
38,北京市东城区卫生学校,1101010160093611000121362
39,北京现代职业学校,1101010160133611000102365
40,北京市第十一中学,1101010160143411000267341
41,北京市第五十中学分校,1101010170133411000268341
42,北京市第一六一中学,1101020010013411000074341
43,北京市第三十一中学,1101020010123411000073341
44,北京教育学院附属中学,1101020030153411000079341
45,北京市第四十一中学,1101020030333411000080341
46,北京市外事学校,1101020030393611000019365
47,北京市西城经济科学大学,1101020030404211051626368
48,北京市私立汇才中学,1101020030423411000098341
49,北京市新光中学,1101020030423411000102342
50,中央音乐学院附属中等音乐学校,1101020030423611000016362
51,北京市第三中学,1101020030433411000001341
52,北京市铁路第二中学,1101020070053411000090341
53,北京市第二一四中学,1101020070103411000087341
54,北京市第四十四中学,1101020070223411000086341
55,北京市月坛中学,1101020070243411000089341
56,北京市第五十六中学,1101020090023411000092341
57,北京市实美职业学校(附设普通高中班),1101020090053611000020349
58,北京市实美职业学校(职业高中学校),1101020090053611000020365
59,北京市西城外国语学校,1101020090173411000093341
60,北京市第一五四中学,1101020090313411000091341
61,北京市西城区实验学校,1101020100013411000095341
62,北京市第七中学,1101020100053411000094341
63,北京师范大学第二附属中学,1101020100173411000096341
64,北京市第八中学,1101020110043411000082341
